Use Case Type;Packet Loss Budget;Latency Budget (ns);Jitter Budget (ns);Data Rate Budget (Gbps);Required Mobility;Required Connectivity;Slice Available Transfer Rate (Gbps);Slice Latency (ns);Slice Packet Loss;Slice Jitter (ns);Slice Type;Slice Handover
3D/UHD Video;1,00E-05;0;0;1000;no;no;3129.449169992933;2050101.3049468086;0.0004288363651315918;677486.4779462528;feMBB;yes
V2X;1,00E-09;1000000;0;0;yes;no;3892.052539746224;1881589.724420467;0.0004415663560225089;2325275.7632976095;MBRLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;2006.1492779675013;1.0;0.0002795506131559206;2268462.090245719;MBRLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;4954.172793418815;2378763.4537582146;0.0006729397675725476;1980626.5740653495;feMBB;yes
Motion control;1,00E-06;1000;1000000;0;no;no;1490.025684193009;1351197.2583471215;0.0008118910814120834;1650918.8813101524;ERLLC;yes
Smart Home;0.0;0;0;0;no;yes;5809.327058444297;2409140.7263313243;0.0002650307408313999;1007719.0524740721;umMTC;no
Motion control;1,00E-06;1000;1000000;0;no;no;4338.863439158322;2833430.169495943;0.0006730087337362123;1087969.5602908183;ERLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;3960.6319851404687;882598.6767421421;0.0004925927557003839;2866002.12577511;MBRLLC;yes
Smart City;0.0;0;0;0;no;yes;4232.662422154831;2388839.9101011427;0.00039334340518945414;2250248.3300695135;umMTC;no
3D/UHD Video;1,00E-05;0;0;1000;no;no;4899.866577189747;1176287.3637221633;0.0005238666134517172;1866516.2785922124;feMBB;yes
VR/AR;1,00E-05;0;0;1000;no;no;5988.511493541403;1971735.5681997726;0.00036614651270095984;1827030.6476442057;feMBB;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;7195.4426064495965;1916037.0770686846;0.0005390401944150207;2680835.056128964;feMBB;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;6690.174041055721;2504279.074377261;0.0004510530787254367;2652851.5323733557;mURLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;8719.608589907231;2405281.166077571;0.00044272388391744153;1455986.9112232737;mURLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;6125.88279942752;2174744.6488271784;0.00069611088982228;1038964.4548593475;ERLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;5234.335118106159;904428.8933387126;0.00020834020872306937;2246925.7689861283;MBRLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;4238.85647308384;323459.61058716965;0.0004053765089637278;2822124.298757592;MBRLLC;yes
Smart Home;0.0;0;0;0;no;yes;4294.239038255272;2608188.5579947494;0.00017004445905431393;2460083.0081173163;umMTC;no
Smart Home;0.0;0;0;0;no;yes;5898.806871272108;2497645.904846027;0.0005218227863864954;3106695.77246996;umMTC;no
Smart Home;0.0;0;0;0;no;yes;3334.926337726623;1335013.7700873744;0.00041750504212627413;1885921.2313122875;umMTC;no
Smart City;0.0;0;0;0;no;yes;5382.088735963362;2231564.2571888086;0.00037974272563235024;2189971.871686533;umMTC;no
Delivery drones;1,00E-06;1000000;0;0;yes;no;4969.061651142827;1860485.9776354912;0.0005471386612609792;1962410.554783274;MBRLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;3787.1262553389374;2724328.1040378385;0.0006019417886590724;2508229.5011323197;ERLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;3248.6913767718584;2055723.790213703;0.0006971072836523726;1524079.605291701;MBRLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;9207.941716636113;2600260.505441099;0.0009884633955792557;2129542.7109931423;feMBB;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;2673.114151497218;1590956.8609623527;0.00040509251250708475;3098193.9350597854;MBRLLC;yes
Smart City;0.0;0;0;0;no;yes;4887.580352516365;2190016.131595865;0.000387554257552755;1513970.4679485667;umMTC;no
3D/UHD Video;1,00E-05;0;0;1000;no;no;7037.9359162939845;1724882.0207017343;0.0005007675357847263;658923.7421302106;feMBB;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;5882.173265402976;1587695.5851751133;0.000514510924980285;2350140.895051552;MBRLLC;yes
Smart City;0.0;0;0;0;no;yes;4211.352995999891;446754.2596039879;0.0007889121239808562;3493882.7609951603;umMTC;no
Servo motors;1,00E-07;100;1000;0;no;no;3013.786798613694;2615653.917241522;0.0005869385738135731;1546611.5029118177;ERLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;5216.789107691997;3166462.6173025956;0.0003426155414357478;2851141.5212523085;MBRLLC;yes
Smart City;0.0;0;0;0;no;yes;601.7478373167205;1074670.7710808835;0.0003332120748497802;2009330.6758606439;umMTC;no
Smart Home;0.0;0;0;0;no;yes;5283.583456149715;2462397.3231540704;0.0006135569746020632;1345075.0577900547;umMTC;no
V2X;1,00E-09;1000000;0;0;yes;no;5058.538507059751;2434613.1215295936;0.00046538329376670116;2459083.0151838697;MBRLLC;yes
Smart Home;0.0;0;0;0;no;yes;6783.858193889578;1656934.8904787044;0.0007359723680334884;1051481.0446691506;umMTC;no
V2X;1,00E-09;1000000;0;0;yes;no;3095.124318149793;1508343.8828509606;0.0005859156782108335;3014185.655160377;MBRLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;4461.434912156531;2787003.353552756;0.0003259063495831873;2073942.4017330813;feMBB;yes
VR/AR;1,00E-05;0;0;1000;no;no;5728.596594454723;2716740.87054071;0.0003040217059804869;862385.2605086302;feMBB;yes
VR/AR;1,00E-05;0;0;1000;no;no;5343.0786698794855;2300993.7002933184;0.0005575144093480796;3235977.789870067;feMBB;yes
Servo motors;1,00E-07;100;1000;0;no;no;2762.979612898786;1653354.2589752444;0.0004430828681774053;2571598.5571553223;ERLLC;yes
Smart Home;0.0;0;0;0;no;yes;3921.4383663152594;2726303.9266046192;0.000689914368541885;2210699.569773569;umMTC;no
V2X;1,00E-09;1000000;0;0;yes;no;7333.452615125618;1442277.3101834017;0.0005565635471953182;2592170.971810518;MBRLLC;yes
Smart City;0.0;0;0;0;no;yes;5432.667421087644;2947091.6817470677;0.0005532542502588108;361108.1664734145;umMTC;no
3D/UHD Video;1,00E-05;0;0;1000;no;no;2227.250439395947;3088138.3762716153;0.00029512749686021634;1583669.3483993527;feMBB;yes
Smart City;0.0;0;0;0;no;yes;6472.406372437782;2787653.6801426476;0.00042047151191876026;3672716.5230437918;umMTC;no
3D/UHD Video;1,00E-05;0;0;1000;no;no;2335.3253340330416;2228539.2244341616;0.0004921439818938397;2086423.985145255;feMBB;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;4488.85034072835;301739.36676041665;0.00018758574188806334;1572983.0087487567;mURLLC;yes
Smart City;0.0;0;0;0;no;yes;5939.2003782017;1876813.3536731405;0.0006038520551166961;2112612.6100238226;umMTC;no
Delivery drones;1,00E-06;1000000;0;0;yes;no;7023.140849051224;3176586.8939671014;0.0006422631000402603;1267675.7132681606;MBRLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;1104.3492579382782;2624704.655553662;0.00041176519457169304;3051728.893856122;MBRLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;6186.364914099918;2290209.7875676947;0.000711422607318692;1702389.9132044755;ERLLC;yes
Smart Home;0.0;0;0;0;no;yes;6436.564112644102;1546103.975901308;0.0007041058137618418;947581.1317020187;umMTC;no
3D/UHD Video;1,00E-05;0;0;1000;no;no;4072.2337223144764;2682937.595444612;0.0005872932772314352;2113460.3748645433;feMBB;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;5151.999997542344;951355.7055576362;0.0004898660124022045;2664958.3713015644;feMBB;yes
Smart Home;0.0;0;0;0;no;yes;1.0;1886109.898912471;0.000665959329264535;2463446.0443092575;umMTC;no
Servo motors;1,00E-07;100;1000;0;no;no;420.9908053726149;3159919.9131290405;0.0002516401152211384;1067713.967189556;ERLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;6847.869777893756;1463753.7908551055;0.0005124757044096509;1367392.9777729567;ERLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;4102.431100894883;2406126.6193583617;0.0003592908858761294;581495.901537925;ERLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;4423.537316201685;828584.7794103732;0.00038953467139881694;2475777.8583346456;ERLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;5391.588226756095;1565198.9399724226;0.0005749991685641154;2313402.3332132986;ERLLC;yes
Smart Home;0.0;0;0;0;no;yes;4390.673970740342;2119642.3491788288;0.0003659423665013139;2377292.047512419;umMTC;no
Servo motors;1,00E-07;100;1000;0;no;no;4236.089559460675;2235747.131376356;0.00024494656749568067;1709950.655387817;ERLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;5657.916021673097;3378296.7446489464;0.0008700653305710052;731751.6864987633;MBRLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;2508.1888265772996;1663966.7024655102;0.0003992628222448932;1467172.3199915558;feMBB;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;6933.502766825679;2396291.2958758366;0.0003593447404297875;2739437.7898968263;mURLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;4616.7883335468905;2377588.837631559;0.0006990593679474943;2247694.1899057897;feMBB;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;3324.570108515335;1607434.3844854932;0.0003996631471854021;847490.1770722971;feMBB;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;3100.3405607435343;2637298.2574050943;0.0002883776106488594;1817751.8081863946;mURLLC;yes
Smart Home;0.0;0;0;0;no;yes;5071.579368777796;2445448.580757267;0.0003474177095445395;2377337.863305361;umMTC;no
Smart City;0.0;0;0;0;no;yes;4489.954876654335;1817683.6602271232;0.00042814130960623544;1932877.4792663055;umMTC;no
Smart Home;0.0;0;0;0;no;yes;2419.3580158144873;2129802.0892428984;0.00032152899518917175;1054171.255984109;umMTC;no
3D/UHD Video;1,00E-05;0;0;1000;no;no;3997.5417968873357;1360285.868361719;0.0003611672125937345;1675889.461148302;feMBB;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;3651.9698616957867;1409609.1334356875;0.0004254334881646436;1512545.8039321033;feMBB;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;7103.383918112029;1985629.147770309;0.0006619291311277687;2022356.1469857497;mURLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;5217.898949550408;2498316.5167757254;0.0008453724731503228;2187405.302557471;ERLLC;yes
Smart Home;0.0;0;0;0;no;yes;7615.804157379535;1777660.6694460523;0.000684831424844073;1562827.806867953;umMTC;no
V2X;1,00E-09;1000000;0;0;yes;no;3817.3279550919647;1589028.9639887465;0.00046204118295649013;2430680.4222768387;MBRLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;4515.328707408074;1846186.1776047784;0.000264901864566137;3089597.6760711204;mURLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;5644.690949855318;2552411.627834685;0.0006169124885367152;4000000.0;MBRLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;6007.286995521627;1098777.3046122706;0.00032945938496212646;1378906.2647715858;feMBB;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;6202.031622242866;2574233.0378584675;0.0004384339399155724;2049982.0763231434;mURLLC;yes
Smart Home;0.0;0;0;0;no;yes;3520.9653808696125;2341317.194908625;0.0007693173648039342;790918.0793104053;umMTC;no
3D/UHD Video;1,00E-05;0;0;1000;no;no;3567.844718205173;1095617.2513363396;0.0007840663535080387;1681897.3812275839;feMBB;yes
Smart City;0.0;0;0;0;no;yes;4408.19211756662;1843153.0893664442;0.000529707759703713;2852508.11702507;umMTC;no
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;7468.431288998649;2424048.1703368146;0.0007044804623180227;487360.4028033493;mURLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;3332.861474811345;726367.4957538529;0.0006985944277512028;1721869.312350222;ERLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;4122.379477239935;1309786.1047536223;0.0006095669388457834;1976341.7339922136;feMBB;yes
Smart Home;0.0;0;0;0;no;yes;6216.808214386241;984725.9948338264;0.0004547678378850738;958220.4801479508;umMTC;no
VR/AR;1,00E-05;0;0;1000;no;no;6127.644382203908;1614679.9611273329;0.0004073782198203512;2250933.8794759996;feMBB;yes
V2X;1,00E-09;1000000;0;0;yes;no;5926.104709968563;2691821.593271725;0.0005074117011022622;2169438.0561158466;MBRLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;5135.2258273687075;2532176.6967098555;0.00028612907167464526;1592019.6970503828;ERLLC;yes
Smart Home;0.0;0;0;0;no;yes;3225.4548196873648;1663062.3134513812;0.0004204731506055019;2432523.446381272;umMTC;no
Delivery drones;1,00E-06;1000000;0;0;yes;no;3849.321914484591;2685960.966861902;0.0005997209890745714;1446429.2819367312;MBRLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;6877.795878185596;2442268.035210789;0.0003950033227994978;2303873.463963858;MBRLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;6289.766615870693;2850086.4194432525;0.0007574339854796873;2002699.1835782023;feMBB;yes
Servo motors;1,00E-07;100;1000;0;no;no;2775.747651192186;1940969.9118622222;0.0005410339785023895;2156420.5212569437;ERLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;6449.451139903085;2359385.141797991;0.0006304505615032074;1836866.1982845725;ERLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;7181.579268200765;4000000.0;0.0004644964116477832;1101336.340282681;feMBB;yes
VR/AR;1,00E-05;0;0;1000;no;no;5090.209009391333;1793618.267484065;0.0006053001102311242;1068030.571840223;feMBB;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;5710.897587602565;1956679.147398928;0.0003117890169318417;1486713.1518779104;feMBB;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;6686.140061762751;1894065.7867423466;0.0005705259454470503;1636393.223405895;MBRLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;3841.088625795357;1939664.816045634;0.0005861591142542304;2181417.0583538767;feMBB;yes
V2X;1,00E-09;1000000;0;0;yes;no;8882.774741401696;2372068.949076908;0.0007138607621302144;1978487.6107716262;MBRLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;7038.759451414447;2038739.5981478796;0.00016551789249137443;1694868.7992473503;ERLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;5873.79290731457;1090101.0213096864;0.00038807776295682236;666415.9371164837;ERLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;4942.992677666179;2012033.0778222273;0.0002033243733875687;1536319.3033347959;ERLLC;yes
Smart Home;0.0;0;0;0;no;yes;5825.04661144881;1649127.5718869343;0.00036007369021312963;1227115.2073850688;umMTC;no
VR/AR;1,00E-05;0;0;1000;no;no;2400.2892159757025;847654.9041135674;0.00048214582133104664;3163555.2302644504;feMBB;yes
V2X;1,00E-09;1000000;0;0;yes;no;8470.29926522138;2763355.130458043;0.0005983402375979842;2048960.9966021334;MBRLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;6881.797807141676;1645424.128628851;0.0008744640650016626;3043725.850602021;MBRLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;7440.278659070958;2255578.082471402;0.0007250775217145919;2051335.7176323214;ERLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;5051.756813278874;1.0;0.00041872324786748735;3243373.979924901;MBRLLC;yes
Smart City;0.0;0;0;0;no;yes;4400.078054733301;2332615.0936464285;0.0006201275858312234;2210311.745064833;umMTC;no
Smart City;0.0;0;0;0;no;yes;3876.7670456167652;1791058.051450875;0.0007041945267198216;2235755.965649665;umMTC;no
3D/UHD Video;1,00E-05;0;0;1000;no;no;6356.322085643203;963435.3385078057;0.0004833592709775534;3298093.298218127;feMBB;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;4146.340291752825;1632054.4056314582;0.0004894315219443361;1525819.9263114496;MBRLLC;yes
Smart Home;0.0;0;0;0;no;yes;4688.269670847686;1542449.815438681;0.00046173753075123684;1556657.1794131282;umMTC;no
Motion control;1,00E-06;1000;1000000;0;no;no;5911.074144604304;2500450.6379725346;0.000580525972704104;2083233.6309642456;ERLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;3901.7293599922414;2060285.047604695;0.0005689347106969556;3945100.076803919;feMBB;yes
VR/AR;1,00E-05;0;0;1000;no;no;6740.237282177986;985007.9304738301;0.0005236767153740523;1748450.409563608;feMBB;yes
Motion control;1,00E-06;1000;1000000;0;no;no;4970.934493696558;2292336.3399039158;0.0007895521240777934;2205872.847193067;ERLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;2487.2191560597626;619505.9353044445;0.0006672614186098714;2602435.2435281184;ERLLC;yes
Smart Home;0.0;0;0;0;no;yes;3883.940535832581;1249951.6506847676;0.0002300965560510674;3065978.128768636;umMTC;no
V2X;1,00E-09;1000000;0;0;yes;no;7180.591052375445;2009768.528974254;0.00020023860717340605;2598092.0678483737;MBRLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;3438.9853114815887;1583801.8908860912;0.0005695615202724555;2992644.431353665;ERLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;6490.480132481492;2794474.65869671;0.0004830952608930703;2509030.3738138485;ERLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;5203.2687822515045;2112882.2016869416;0.00020833479529936452;2074691.7016336054;feMBB;yes
Smart City;0.0;0;0;0;no;yes;4714.361447168432;2417306.354505667;0.000183324371922537;1281400.8283060333;umMTC;no
Servo motors;1,00E-07;100;1000;0;no;no;9187.738152280326;2444493.345430703;0.0004584636662695493;1655089.7589290242;ERLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;2860.353631157731;1704578.5334538445;0.0005428179431343194;1757720.72594748;ERLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;3767.0673472845265;1289720.3273803997;0.0005489803759150987;2193274.2786720837;mURLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;4961.453790039151;1966703.0274271616;0.0003990272911437955;2352057.7194235646;feMBB;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;9026.346361851463;2578149.1392583116;0.0004071493098387096;3276683.004508026;MBRLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;4965.334888875619;1844822.3467329254;0.0004162291532835429;616785.7640122657;mURLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;5457.542522102661;2393969.6195442877;0.000582177753656121;1966728.2148006004;mURLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;4440.830139938872;1981837.8076453155;0.0002451068875016368;3273216.8444601335;ERLLC;yes
Smart City;0.0;0;0;0;no;yes;5598.154526173412;964564.7590703937;0.000503235305660648;1080848.2257615617;umMTC;no
Servo motors;1,00E-07;100;1000;0;no;no;4544.183291840336;1021277.1316342094;0.0006698780796575809;1530207.020243116;ERLLC;yes
Smart City;0.0;0;0;0;no;yes;6159.25512028802;3041649.236521643;0.0004413975858934974;2310902.5745455236;umMTC;no
Smart Home;0.0;0;0;0;no;yes;6290.683179588077;1221650.608650316;0.0005267273937454681;2579934.1059462;umMTC;no
Motion control;1,00E-06;1000;1000000;0;no;no;4610.363746146806;1574939.0255269771;0.0005692809009703079;1077618.8135831403;ERLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;3124.8875165129093;2611725.045696781;0.0003903289411791705;3031483.8016653187;MBRLLC;yes
Smart City;0.0;0;0;0;no;yes;5156.434150068389;1204971.0229216865;0.000483071323920255;2385163.150056788;umMTC;no
VR/AR;1,00E-05;0;0;1000;no;no;7337.1358937438745;1544325.4739151064;0.00028330921443641365;1070256.2440355914;feMBB;yes
Smart Home;0.0;0;0;0;no;yes;3622.8701204669474;1858902.648106465;0.0005810129052167152;2769142.1236825916;umMTC;no
3D/UHD Video;1,00E-05;0;0;1000;no;no;5556.972497840436;1771801.2710997236;0.000527144233907034;2682522.0589384753;feMBB;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;2991.133573383973;1352984.86082974;0.0006943639877641665;1998644.88327402;MBRLLC;yes
Smart Home;0.0;0;0;0;no;yes;3267.6610770948705;1870988.7261273675;0.0006463083544243688;1694193.6868869285;umMTC;no
Motion control;1,00E-06;1000;1000000;0;no;no;7167.559664532429;2452723.7366795945;0.0006969119579789871;1221162.143551637;ERLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;6152.940382185025;1918065.5508961417;0.0007047724198389522;1727042.8471790382;mURLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;5582.05038920904;1561021.861532178;0.0003793359918182756;2686845.284129211;mURLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;1131.264855030226;2630732.108236005;0.0005799246555970329;854876.875152376;ERLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;4079.104029750729;3137639.277455224;0.0006124159220578999;1443995.1240826028;MBRLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;6011.7555361439645;2636760.932121568;0.0003960598400744894;2193489.9725992386;mURLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;2585.63233104967;1251155.11893193;0.0007055323922875131;2473267.2938439827;feMBB;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;4410.749997717324;1268849.4493976822;0.0004818766237522515;2446773.768972319;feMBB;yes
